,id,budget,genres,original_language,original_title,overview,popularity,poster,release_year,release_date,release_date_str,revenue,runtime,tagline,title,vote_average,vote_count
10,10,40218400,"['Action', 'Adventure', 'Fantasy']","['English', 'Sindarin']",The Lord of the Rings: The Fellowship of the Ring,A meek Hobbit and eight companions set out on a journey to destroy the One Ring and save Middle-earth.,92.0,https://m.media-amazon.com/images/M/MV5BN2EyZjM3NzUtNWUzMi00MTgxLWI0NTctMzY4M2VlOTdjZWRiXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_SX300.jpg,2001,1008700200,19 Dec 2001,"$319,372,078",178 min,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,The Lord of the Rings: The Fellowship of the Ring,8.9,"2,035,018"
11,11,40218400,"['Crime', 'Drama', 'Thriller']","['English', 'Latin']",The Silence of the Lambs,A young FBI cadet must confide in an incarcerated and manipulative killer to catch another serial killer who skins his victims.,95.0,https://m.media-amazon.com/images/M/MV5BNjNhZTk0ZmEtNjJhMi00YzFlLWE1MmEtYzM1M2ZmMGMwMTU4XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,1991,666469800,14 Feb 1991,"$130,742,922",118 min,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.",The Silence of the Lambs,8.6,"1,576,126"
12,12,40218400,"['Drama', 'War']","['English', 'French', 'German', 'Czech']",Saving Private Ryan,"After the Normandy invasion, a group of U.S. soldiers goes behind enemy lines to retrieve a paratrooper whose brothers have been killed in action.",94.0,https://m.media-amazon.com/images/M/MV5BZjhkMDM4MWItZTVjOC00ZDRhLThmYTAtM2I5NzBmNmNlMzI1XkEyXkFqcGdeQXVyNDYyMDk5MTU@._V1_SX300.jpg,1998,901218600,24 Jul 1998,"$217,049,603",169 min,"Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action.",Saving Private Ryan,8.6,"1,516,880"
13,13,40218400,"['Adventure', 'Sci-Fi', 'Thriller']","['English', 'Spanish']",Jurassic Park,"During a preview tour, a theme park's genetically engineered dinosaurs run amok and endanger the lives of the park's visitors.",92.0,https://m.media-amazon.com/images/M/MV5BMjM2MDgxMDg0Nl5BMl5BanBnXkFtZTgwNTM2OTM5NDE@._V1_SX300.jpg,1993,739737000,11 Jun 1993,"$407,185,075",127 min,"An industrialist invites some experts to visit his theme park of cloned dinosaurs. After a power failure, the creatures run loose, putting everyone's lives, including his grandchildren's, in danger.",Jurassic Park,8.2,"1,085,603"
14,14,40218400,"['Animation', 'Adventure', 'Drama']","['English', 'Swahili', 'Xhosa', 'Zulu']",The Lion King,"Lion prince Simba flees his kingdom after the murder of his father, only to learn the true meaning of responsibility and bravery.",92.0,https://m.media-amazon.com/images/M/MV5BYTYxNGMyZTYtMjE3MS00MzNjLWFjNmYtMDk3N2FmM2JiM2M1XkEyXkFqcGdeQXVyNjY5NDU4NzI@._V1_SX300.jpg,1994,772396200,24 Jun 1994,"$424,979,720",88 min,"Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself.",The Lion King,8.5,"1,158,848"
15,15,40218400,"['Action', 'Adventure', 'Drama']",['English'],Gladiator,A former Roman General seeks vengeance against the corrupt emperor who murdered his family and sent him into slavery.,80.0,https://m.media-amazon.com/images/M/MV5BMDliMmNhNDEtODUyOS00MjNlLTgxODEtN2U3NzIxMGVkZTA1L2ltYWdlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,2000,957465000,05 May 2000,"$187,705,427",155 min,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.,Gladiator,8.5,"1,657,460"
16,16,40218400,"['Action', 'Adventure', 'Sci-Fi']","['English', 'Russian']",The Avengers,Earth's mightiest heroes must come together to stop a mischievous demigod from enslaving humanity.,91.0,https://m.media-amazon.com/images/M/MV5BNDYxNjQyMjAtNTdiOS00NGYwLWFmNTAtNThmYjU5ZGI2YTI1XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,2012,1336069800,04 May 2012,"$623,357,910",143 min,Earth's mightiest heroes must come together and learn to fight as a team if they are going to stop the mischievous Loki and his alien army from enslaving humanity.,The Avengers,8.0,"1,477,607"
17,17,40218400,"['Action', 'Sci-Fi', 'Thriller']","['English', 'Spanish']",The Terminator,A cyborg assassin is sent from the future to kill a young woman whose child will one day lead humanity's war against the machines.,100.0,https://m.media-amazon.com/images/M/MV5BYTViNzMxZjEtZGEwNy00MDNiLWIzNGQtZDY2MjQ1OWViZjFmXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg,1984,467577000,26 Oct 1984,"$38,371,200",107 min,"The Terminator, a cyborg assassin from the future, attempts to find and kill Sarah Connor, a waitress who is destined to give birth to a man who will save humankind from extinction.",The Terminator,8.1,"939,368"
18,18,40218400,"['Biography', 'Drama', 'History']","['English', 'French', 'Latin', 'Gaelic', 'Italian']",Braveheart,Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England.,76.0,https://m.media-amazon.com/images/M/MV5BMzkzMmU0YTYtOWM3My00YzBmLWI0YzctOGYyNTkwMWE5MTJkXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg,1995,801253800,24 May 1995,"$75,609,945",178 min,Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England.,Braveheart,8.3,"1,101,346"
19,19,40218400,"['Drama', 'Romance']","['English', 'Swedish', 'Italian', 'French']",Titanic,A young couple from different social classes falls in love aboard the ill-fated R.M.S. Titanic.,88.0,https://m.media-amazon.com/images/M/MV5BMDdmZGU3NDQtY2E5My00ZTliLWIzOTUtMTY4ZGI1YjdiNjk3XkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_SX300.jpg,1997,882469800,19 Dec 1997,"$674,292,608",194 min,"A seventeen-year-old aristocrat falls in love with a kind but poor artist aboard the luxurious, ill-fated R.M.S. Titanic.",Titanic,7.9,"1,303,897"
20,20,40218400,"['Adventure', 'Drama', 'Sci-Fi']",['English'],Interstellar,A group of astronauts travels through a wormhole in search of a new habitable planet.,73.0,https://m.media-amazon.com/images/M/MV5BZjdkOTU3MDktN2IxOS00OGEyLWFmMjktY2FiMmZkNWIyODZiXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,2014,1415298600,07 Nov 2014,"$188,020,017",169 min,"When Earth becomes uninhabitable in the future, a farmer and ex-NASA pilot, Joseph Cooper, is tasked to pilot a spacecraft, along with a team of researchers, to find a new planet for humans.",Interstellar,8.7,"2,153,343"
21,21,40218400,"['Drama', 'Mystery', 'Thriller']",['English'],The Prestige,"Two stage magicians engage in a rivalry to create the ultimate stage illusion, with dangerous consequences.",77.0,https://m.media-amazon.com/images/M/MV5BMTM3MzQ5MjQ5OF5BMl5BanBnXkFtZTcwMTQ3NzMzMw@@._V1_SX300.jpg,2006,1161282600,20 Oct 2006,"$53,089,891",130 min,"After a tragic accident, two stage magicians in 1890s London engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other.",The Prestige,8.5,"1,463,459"
22,22,40218400,"['Action', 'Adventure', 'Sci-Fi']","['English', 'Russian']",Mad Max: Fury Road,"In a post-apocalyptic wasteland, a woman rebels against a tyrant and his army in a high-octane road chase.",97.0,https://m.media-amazon.com/images/M/MV5BN2EwM2I5OWMtMGQyMi00Zjg1LWJkNTctZTdjYTA4OGUwZjMyXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,2015,1431628200,15 May 2015,"$154,280,290",120 min,"In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshipper and a drifter named Max.",Mad Max: Fury Road,8.1,"1,125,620"
23,23,40218400,"['Drama', 'Western']","['English', 'German', 'French', 'Italian']",Django Unchained,"With the help of a German bounty hunter, a freed slave sets out to rescue his wife from a brutal Mississippi plantation owner.",87.0,https://m.media-amazon.com/images/M/MV5BMjIyNTQ5NjQ1OV5BMl5BanBnXkFtZTcwODg1MDU4OA@@._V1_SX300.jpg,2012,1356373800,25 Dec 2012,"$162,805,434",165 min,"With the help of a German bounty-hunter, a freed slave sets out to rescue his wife from a brutal plantation owner in Mississippi.",Django Unchained,8.5,"1,726,877"
24,24,40218400,"['Biography', 'Comedy', 'Crime']","['English', 'French']",The Wolf of Wall Street,"The story of Jordan Belfort, from his rise to a wealthy stockbroker to his fall involving crime, corruption, and the federal government.",80.0,https://m.media-amazon.com/images/M/MV5BMjIxMjgxNTk0MF5BMl5BanBnXkFtZTgwNjIyOTg2MDE@._V1_SX300.jpg,2013,1387909800,25 Dec 2013,"$116,900,694",180 min,"Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government.",The Wolf of Wall Street,8.2,"1,611,496"
25,25,40218400,"['Adventure', 'Drama', 'War']","['English', 'German', 'French', 'Italian']",Inglourious Basterds,"In Nazi-occupied France during World War II, a group of Jewish-American soldiers plan to assassinate Nazi leaders.",89.0,https://m.media-amazon.com/images/M/MV5BOTJiNDEzOWYtMTVjOC00ZjlmLWE0NGMtZmE1OWVmZDQ2OWJhXkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_SX300.jpg,2009,1250793000,21 Aug 2009,"$120,540,719",153 min,"In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same.",Inglourious Basterds,8.4,"1,615,135"
26,26,40218400,"['Drama', 'Music']",['English'],Whiplash,A promising young drummer enrolls at a music conservatory where he is pushed to the limit by an instructor who will stop at nothing to realize a student's potential.,94.0,https://m.media-amazon.com/images/M/MV5BOTA5NDZlZGUtMjAxOS00YTRkLTkwYmMtYWQ0NWEwZDZiNjEzXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,2014,1726770600,20 Sep 2024,"$13,092,000",106 min,A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.,Whiplash,8.5,"1,011,242"
27,27,40218400,"['Biography', 'Drama']","['English', 'French']",The Social Network,"The story of the founders of the social-networking website, Facebook.",96.0,https://m.media-amazon.com/images/M/MV5BOGUyZDUxZjEtMmIzMC00MzlmLTg4MGItZWJmMzBhZjE0Mjc1XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,2010,1285871400,01 Oct 2010,"$96,962,694",120 min,"As Harvard student Mark Zuckerberg creates the social networking site that would become known as Facebook, he is sued by the twins who claimed he stole their idea and by the co-founder who was later squeezed out of the business.",The Social Network,7.8,"768,232"
28,28,40218400,"['Comedy', 'Drama', 'Thriller']","['Korean', 'English']",Parasite,Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.,99.0,https://m.media-amazon.com/images/M/MV5BYWZjMjk3ZTItODQ2ZC00NTY5LWE0ZDYtZTI3MjcwN2Q5NTVkXkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_SX300.jpg,2019,1573151400,08 Nov 2019,"$53,369,749",132 min,Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.,Parasite,8.5,"991,452"
29,29,40218400,"['Biography', 'Drama', 'History']",['English'],12 Years a Slave,"In the pre-Civil War United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery.",95.0,https://m.media-amazon.com/images/M/MV5BMjExMTEzODkyN15BMl5BanBnXkFtZTcwNTU4NTc4OQ@@._V1_SX300.jpg,2013,1383849000,08 Nov 2013,"$56,671,993",134 min,"In the antebellum United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery.",12 Years a Slave,8.1,"747,876"
30,30,40218400,"['Action', 'Adventure', 'Drama']","['English', 'Pawnee', 'French']",The Revenant,A frontiersman on a fur trading expedition in the 1820s fights for survival after being mauled by a bear and left for dead by members of his own hunting team.,78.0,https://m.media-amazon.com/images/M/MV5BYTgwNmQzZDctMjNmOS00OTExLTkwM2UtNzJmOTJhODFjOTdlXkEyXkFqcGc@._V1_SX300.jpg,2015,1452191400,08 Jan 2016,"$183,637,894",156 min,A frontiersman on a fur trading expedition in the 1820s fights for survival after being mauled by a bear and left for dead by members of his own hunting team.,The Revenant,8.0,"887,596"
31,31,40218400,"['Drama', 'Mystery', 'Thriller']",['English'],Gone Girl,"With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent.",88.0,https://m.media-amazon.com/images/M/MV5BMTk0MDQ3MzAzOV5BMl5BanBnXkFtZTgwNzU1NzE3MjE@._V1_SX300.jpg,2014,1412274600,03 Oct 2014,"$167,767,189",149 min,"With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent.",Gone Girl,8.1,"1,083,433"
32,32,40218400,"['Drama', 'Romance', 'Sci-Fi']",['English'],Her,"In a near future, a lonely writer develops an unlikely relationship with an operating system designed to meet his every need.",95.0,https://m.media-amazon.com/images/M/MV5BMjA1Nzk0OTM2OF5BMl5BanBnXkFtZTgwNjU2NjEwMDE@._V1_SX300.jpg,2013,1389292200,10 Jan 2014,"$25,568,251",126 min,"In the near future, a lonely writer develops an unlikely relationship with an operating system designed to meet his every need.",Her,8.0,"680,232"
33,33,40218400,"['Comedy', 'Drama', 'Music']","['English', 'Cantonese']",La La Land,"While navigating their careers in Los Angeles, a pianist and an actress fall in love while attempting to reconcile their aspirations for the future.",91.0,https://m.media-amazon.com/images/M/MV5BMzUzNDM2NzM2MV5BMl5BanBnXkFtZTgwNTM3NTg4OTE@._V1_SX300.jpg,2016,1482604200,25 Dec 2016,"$151,101,803",128 min,"While navigating their careers in Los Angeles, a pianist and an actress fall in love while attempting to reconcile their aspirations for the future.",La La Land,8.0,"690,294"
34,34,40218400,"['Adventure', 'Comedy', 'Crime']","['English', 'French', 'German']",The Grand Budapest Hotel,"A writer encounters the owner of an aging high-class hotel, who tells him of his early years serving as a lobby boy in the hotel's glorious years under an exceptional concierge.",92.0,https://m.media-amazon.com/images/M/MV5BMzM5NjUxOTEyMl5BMl5BanBnXkFtZTgwNjEyMDM0MDE@._V1_SX300.jpg,2014,1395945000,28 Mar 2014,"$59,301,324",99 min,"A writer encounters the owner of an aging high-class hotel, who tells him of his early years serving as a lobby boy in the hotel's glorious years under an exceptional concierge.",The Grand Budapest Hotel,8.1,"900,571"
35,35,40218400,"['Drama', 'Sci-Fi', 'Thriller']","['English', 'Greenlandic']",Gravity,Two astronauts work together to survive after an accident leaves them stranded in space.,96.0,https://m.media-amazon.com/images/M/MV5BNjE5MzYwMzYxMF5BMl5BanBnXkFtZTcwOTk4MTk0OQ@@._V1_SX300.jpg,2013,1380825000,04 Oct 2013,"$274,092,705",91 min,"Dr Ryan Stone, an engineer on her first time on a space mission, and Matt Kowalski, an astronaut on his final expedition, have to survive in space after they are hit by debris while spacewalking.",Gravity,7.7,"868,911"
36,36,40218400,"['Action', 'Drama', 'Sci-Fi']","['English', 'Finnish', 'Japanese', 'Hungarian', 'Russian', 'Somali', 'Spanish']",Blade Runner 2049,"Young blade runner K's discovery of a long-buried secret leads him to track down former blade runner Rick Deckard, who's been missing for thirty years.",88.0,https://m.media-amazon.com/images/M/MV5BNzA1Njg4NzYxOV5BMl5BanBnXkFtZTgwODk5NjU3MzI@._V1_SX300.jpg,2017,1507228200,06 Oct 2017,"$92,071,675",164 min,"Young Blade Runner K's discovery of a long-buried secret leads him to track down former Blade Runner Rick Deckard, who's been missing for thirty years.",Blade Runner 2049,8.0,"682,886"
37,37,40218400,"['Mystery', 'Thriller']","['English', 'German']",Shutter Island,"In 1954, a U.S. Marshal investigates the disappearance of a murderer who escaped from a hospital for the criminally insane.",69.0,https://m.media-amazon.com/images/M/MV5BYzhiNDkyNzktNTZmYS00ZTBkLTk2MDAtM2U0YjU1MzgxZjgzXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,2010,1266517800,19 Feb 2010,"$128,012,934",138 min,"Teddy Daniels and Chuck Aule, two US marshals, are sent to an asylum on a remote island in order to investigate the disappearance of a patient, where Teddy uncovers a shocking truth about the place.",Shutter Island,8.2,"1,483,864"
38,38,40218400,"['Drama', 'Mystery', 'Sci-Fi']","['English', 'Mandarin', 'Russian']",Arrival,A linguist works with the military to communicate with alien lifeforms after twelve mysterious spacecraft appear around the world.,94.0,https://m.media-amazon.com/images/M/MV5BMTExMzU0ODcxNDheQTJeQWpwZ15BbWU4MDE1OTI4MzAy._V1_SX300.jpg,2016,1478802600,11 Nov 2016,"$100,546,139",116 min,"Linguist Louise Banks leads a team of investigators when gigantic spaceships touch down around the world. As nations teeter on the verge of global war, Banks and her crew must find a way to communicate with the extraterrestrial vi...",Arrival,7.9,"787,598"
39,39,40218400,"['Horror', 'Mystery', 'Thriller']","['English', 'Swahili']",Get Out,"A young African-American visits his white girlfriend's parents for the weekend, where his simmering uneasiness about their reception of him eventually reaches a boiling point.",98.0,https://m.media-amazon.com/images/M/MV5BMjUxMDQwNjcyNl5BMl5BanBnXkFtZTgwNzcwMzc0MTI@._V1_SX300.jpg,2017,1487874600,24 Feb 2017,"$176,196,665",104 min,"A young African-American visits his white girlfriend's parents for the weekend, where his simmering uneasiness about their reception of him eventually reaches a boiling point.",Get Out,7.8,"723,596"
40,40,40218400,"['Drama', 'Horror', 'Sci-Fi']","['American Sign ', 'English']",A Quiet Place,"In a post-apocalyptic world, a family is forced to live in silence while hiding from monsters with ultra-sensitive hearing.",96.0,https://m.media-amazon.com/images/M/MV5BMjI0MDMzNTQ0M15BMl5BanBnXkFtZTgwMTM5NzM3NDM@._V1_SX300.jpg,2018,1522953000,06 Apr 2018,"$188,024,361",90 min,A family struggles for survival in a world invaded by alien creatures with ultra-sensitive hearing.,A Quiet Place,7.5,"605,696"
41,41,40218400,"['Crime', 'Drama', 'Mystery']","['English', 'Spanish', 'French', 'Persian']",The Hateful Eight,"In the dead of a Wyoming winter, bounty hunters seek shelter in a cabin, but the situation soon becomes hostile.",75.0,https://m.media-amazon.com/images/M/MV5BMjA1MTc1NTg5NV5BMl5BanBnXkFtZTgwOTM2MDEzNzE@._V1_SX300.jpg,2015,1451413800,30 Dec 2015,"$54,117,416",168 min,"In the dead of a Wyoming winter, a bounty hunter and his prisoner find shelter in a cabin currently inhabited by a collection of nefarious characters.",The Hateful Eight,7.8,"670,317"
42,42,40218400,['Drama'],['English'],Moonlight,"A young African-American man grapples with his identity and sexuality while experiencing the everyday struggles of childhood, adolescence, and burgeoning adulthood.",98.0,https://m.media-amazon.com/images/M/MV5BNzQxNTIyODAxMV5BMl5BanBnXkFtZTgwNzQyMDA3OTE@._V1_SX300.jpg,2016,1479407400,18 Nov 2016,"$27,854,932",111 min,"A young African-American man grapples with his identity and sexuality while experiencing the everyday struggles of childhood, adolescence, and burgeoning adulthood.",Moonlight,7.4,"335,150"
43,43,40218400,"['Drama', 'Fantasy', 'Romance']","['English', 'American Sign ', 'Russian', 'French']",The Shape of Water,"At a top-secret research facility, a lonely janitor forms a unique relationship with an amphibious creature that is being held in captivity.",92.0,https://m.media-amazon.com/images/M/MV5BNGNiNWQ5M2MtNGI0OC00MDA2LWI5NzEtMmZiYjVjMDEyOWYzXkEyXkFqcGdeQXVyMjM4NTM5NDY@._V1_SX300.jpg,2017,1513881000,22 Dec 2017,"$63,859,435",123 min,"At a top secret research facility in the 1960s, a lonely janitor forms a unique relationship with an amphibious creature that is being held in captivity.",The Shape of Water,7.3,"451,457"
44,44,40218400,"['Comedy', 'Drama']",['English'],Birdman,"A washed-up superhero actor attempts to revive his fading career by writing, directing, and starring in a Broadway production.",0.0,https://m.media-amazon.com/images/M/MV5BZTk3NjA1M2EtYTQ2Ny00ZTlmLThjMTQtYzhiY2I1ODM0MzdlXkEyXkFqcGdeQXVyNjExODE1MDc@._V1_SX300.jpg,2014,-73027800,09 Sep 1967,$ 0,30 min,A winged superhero who gets his powers from the sun battles various evildoers with the help of his eagle sidekick Avenger.,Birdman,6.7,"1,118"
45,45,40218400,"['Action', 'Drama', 'Sci-Fi']","['English', 'Spanish']",Logan,"In a dystopian future, Logan and an ailing Professor X defend a young mutant pursued by dark forces.",93.0,https://m.media-amazon.com/images/M/MV5BM2JjODdkMGMtNmY2YS00OGM2LThiY2YtZGYyNzE4Nzc2ODA0XkEyXkFqcGc@._V1_SX300.jpg,2017,1488479400,03 Mar 2017,"$226,277,068",137 min,"In a future where mutants are nearly extinct, an elderly and weary Logan leads a quiet life. But when Laura, a mutant child pursued by scientists, comes to him for help, he must get her to safety.",Logan,8.1,"860,542"
46,46,40218400,"['Comedy', 'Drama']","['English', 'Spanish']",Lady Bird,"In 2002, an artistically inclined seventeen-year-old girl comes of age in Sacramento, California.",99.0,https://m.media-amazon.com/images/M/MV5BODhkZGE0NDQtZDc0Zi00YmQ4LWJiNmUtYTY1OGM1ODRmNGVkXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,2017,1512066600,01 Dec 2017,"$48,958,273",94 min,"A fiercely independent teenager tries to make her own way in the world while wanting to get out of her hometown of Sacramento, California and to get away from her complicated mother and recently-unemployed father.",Lady Bird,7.4,"337,412"
